number,value,params_batch_size,params_dmp,params_lr,params_mom,params_wd
0,0.0,16,0.30000000000000004,0.015604801767770422,0.30000000000000004,0.04443158313665904
1,0.0,32,0.0,0.001029139931661211,1.0,0.04274614367944747
521,0.37777777777777777,4,0.6000000000000001,0.045375778536975706,0.7000000000000001,0.005127961824441518
4,0.4444444444444444,2,0.0,9.368152126883914e-05,0.0,0.05844789062002321
2,0.4888888888888889,8,0.9,0.00033265046692361645,1.0,0.011426936783283319
228,0.4888888888888889,4,0.7000000000000001,0.06232462236964646,0.6000000000000001,0.004360732089280141
213,0.5777777777777777,4,0.8,0.06834979452309298,0.6000000000000001,0.0002464856672721104
280,0.6,2,0.5,0.04149016054620962,0.6000000000000001,0.00034109829361883234
967,0.6222222222222222,4,0.30000000000000004,0.02658032755783246,0.5,0.0001445040828825548
63,0.6222222222222222,4,0.8,0.04647022805124318,0.7000000000000001,0.0003480680016670354
535,0.6222222222222222,4,0.6000000000000001,0.013812314960071367,0.6000000000000001,0.00020716170550260632
98,0.6444444444444445,2,0.30000000000000004,0.033941954272060794,0.30000000000000004,0.0009418770254698986
321,0.6444444444444445,4,0.6000000000000001,0.02108730690564086,0.6000000000000001,0.0036245628515781175
878,0.6444444444444445,4,0.6000000000000001,0.020764695611390015,0.7000000000000001,0.000138325509561024
202,0.6444444444444445,4,0.7000000000000001,0.03217165783706134,0.7000000000000001,0.0005619810473701313
3,0.6444444444444445,2,0.4,0.0005085504504847232,0.2,0.025110265773957065
502,0.6666666666666666,4,0.6000000000000001,0.028503816041739592,0.6000000000000001,0.0030162107249037556
654,0.6666666666666666,4,0.5,0.01824393344725901,0.30000000000000004,0.0034877758321241337
958,0.6666666666666666,4,0.30000000000000004,0.03597899645289359,0.6000000000000001,0.00010262070909833619
188,0.6666666666666666,4,0.7000000000000001,0.02097253200714922,0.5,0.0002745709571373421
182,0.6666666666666666,4,0.6000000000000001,0.04270759163673104,0.6000000000000001,0.003022983217125895
139,0.6666666666666666,4,0.7000000000000001,0.028882328132080172,0.8,0.0025153737718146807
408,0.6666666666666666,4,0.7000000000000001,0.02765886978861296,0.6000000000000001,0.0002450902054457731
992,0.6666666666666666,4,0.5,0.01730376199329409,0.6000000000000001,0.004151917312176311
32,0.6666666666666666,4,0.7000000000000001,0.05150630813012324,0.8,0.000864109794885911
28,0.6666666666666666,4,0.6000000000000001,0.004852558024102086,0.5,0.002565093244966976
52,0.6666666666666666,4,0.6000000000000001,0.008850160758484603,0.6000000000000001,0.0034080844424928883
